Season,Position,AllTeam,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
1516,C,1,DeMarcus Cousins,SAC,25,65,29,36,34.6,26.9,9.2,20.5,45.1,1.1,3.2,33.3,7.3,10.2,71.8,2.4,9.1,11.5,3.3,3.8,1.6,1.4,3.6,47,1,0.6
1516,C,1,Andre Drummond,DET,22,81,43,38,32.9,16.2,6.8,13.1,52.1,0,0.1,33.3,2.6,7.2,35.5,4.9,9.9,14.8,0.8,1.9,1.5,1.4,3,66,0,1.6
1516,C,1,DeAndre Jordan,LAC,27,77,51,26,33.7,12.7,4.6,6.6,70.3,0,0,0,3.5,8,43,3.5,10.3,13.8,1.2,1.4,0.7,2.3,2.7,49,0,5.7
1516,F,1,Kevin Durant,OKC,27,72,52,20,35.8,28.2,9.7,19.2,50.5,2.6,6.7,38.7,6.2,6.9,89.8,0.6,7.6,8.2,5,3.5,1,1.2,1.9,27,1,9
1516,F,1,LeBron James,CLE,31,76,56,20,35.6,25.3,9.7,18.6,52,1.1,3.7,30.9,4.7,6.5,73.1,1.5,6,7.4,6.8,3.3,1.4,0.6,1.9,28,3,8.1
1516,F,1,Paul George,IND,26,81,44,37,34.8,23.1,7.5,17.9,41.8,2.6,7,37.1,5.6,6.5,86,1,6,7,4.1,3.3,1.9,0.4,2.8,15,0,2.2
1516,F,1,Kawhi Leonard,SAS,25,72,60,12,33.1,21.2,7.7,15.1,50.6,1.8,4,44.3,4.1,4.6,87.4,1.3,5.5,6.8,2.6,1.5,1.8,1,1.8,12,0,9.1
1516,F,1,LaMarcus Aldridge,SAS,30,74,61,13,30.6,18,7.2,14.1,51.3,0,0.2,0,3.5,4.1,85.8,2.4,6.2,8.5,1.5,1.3,0.5,1.1,2,26,0,6.9
1516,F,1,Draymond Green,GSW,26,81,73,8,34.7,14,5,10.1,49,1.2,3.2,38.8,2.8,4.1,69.6,1.7,7.8,9.5,7.4,3.2,1.5,1.4,3,33,13,13.2
1516,G,1,Stephen Curry,GSW,28,79,71,8,34.2,30.1,10.2,20.2,50.4,5.1,11.2,45.4,4.6,5.1,90.8,0.9,4.6,5.4,6.7,3.3,2.1,0.2,2,15,2,12.9
1516,G,1,Damian Lillard,POR,25,75,40,35,35.7,25.1,8.2,19.7,41.9,3.1,8.1,37.5,5.5,6.2,89.2,0.6,3.4,4,6.8,3.2,0.9,0.4,2.2,15,0,1.3
1516,G,1,Russell Westbrook,OKC,27,80,55,25,34.4,23.5,8.2,18.1,45.4,1.3,4.3,29.6,5.8,7.2,81.2,1.8,6,7.8,10.4,4.3,2,0.3,2.5,54,18,7.9
1516,G,1,Klay Thompson,GSW,26,80,71,9,33.3,22.1,8.1,17.3,47,3.5,8.1,42.5,2.4,2.8,87.3,0.4,3.4,3.8,2.1,1.7,0.8,0.6,1.9,0,0,10.5
1516,G,1,Kyle Lowry,TOR,30,77,54,23,37,21.2,6.6,15.6,42.7,2.8,7.1,38.8,5.2,6.4,81.1,0.7,4,4.7,6.4,2.9,2.1,0.4,2.7,12,1,4.9
1516,G,1,Chris Paul,LAC,31,74,50,24,32.7,19.5,7,15.1,46.2,1.6,4.4,37.1,4,4.4,89.6,0.5,3.7,4.2,10,2.6,2.1,0.2,2.5,38,0,7.5
1516,0,0,James Harden,HOU,26,82,41,41,38.1,29,8.7,19.7,43.9,2.9,8,35.9,8.8,10.2,86,0.8,5.3,6.1,7.5,4.6,1.7,0.6,2.8,23,3,1.5
1516,0,0,Anthony Davis,NOP,23,61,24,37,35.5,24.3,9.2,18.6,49.3,0.6,1.8,32.4,5.3,7,75.8,2.1,8.1,10.3,1.9,2,1.3,2,2.4,36,0,-3.3
1516,0,0,DeMar DeRozan,TOR,26,78,53,25,35.9,23.5,7.9,17.7,44.6,0.6,1.8,33.8,7.1,8.4,85,0.8,3.7,4.5,4,2.2,1,0.3,2.1,3,0,2.2
1516,0,0,Isaiah Thomas,BOS,27,82,48,34,32.2,22.2,7.2,16.9,42.8,2,5.7,35.9,5.8,6.6,87.1,0.6,2.4,3,6.2,2.7,1.1,0.1,2,7,0,3.6
1516,0,0,Carmelo Anthony,NYK,32,72,32,40,35.1,21.8,7.9,18.2,43.4,1.5,4.3,33.9,4.6,5.6,82.9,1.4,6.4,7.7,4.2,2.4,0.9,0.5,2.5,22,0,-0.6
1516,0,0,Blake Griffin,LAC,27,35,22,13,33.4,21.4,8.6,17.2,49.9,0.2,0.5,33.3,4,5.5,72.7,1.5,6.9,8.4,4.9,2.4,0.8,0.5,2.7,13,0,5.2
1516,0,0,Jimmy Butler,CHI,26,67,37,30,36.9,20.9,7,15.4,45.4,1,3.1,31.2,5.9,7.1,83.2,1.2,4.2,5.3,4.8,2,1.6,0.6,1.9,10,2,-0.2
1516,0,0,Kemba Walker,CHA,26,81,47,34,35.6,20.9,7,16.4,42.7,2.2,6,37.1,4.6,5.4,84.7,0.7,3.7,4.4,5.2,2.1,1.6,0.5,1.4,3,0,3
1516,0,0,CJ McCollum,POR,24,80,44,36,34.7,20.8,8,17.9,44.8,2.5,5.9,41.7,2.3,2.8,82.7,0.6,2.7,3.2,4.3,2.5,1.2,0.3,2.3,2,0,1.9
1516,0,0,Andrew Wiggins,MIN,21,81,29,52,35.1,20.7,7.3,16,45.9,0.7,2.3,30,5.3,7,76.1,1.3,2.3,3.6,2,2.2,1,0.6,2,1,0,-0.8
1516,0,0,Brook Lopez,BKN,28,73,21,52,33.7,20.6,8.1,15.8,51.1,0,0.2,14.3,4.3,5.5,78.7,2.8,5.1,7.8,2,2.4,0.8,1.7,2.9,26,0,-1.7
1516,0,0,Eric Bledsoe,PHX,26,31,12,19,34.2,20.4,7.2,15.9,45.3,1.5,4.2,37.2,4.5,5.5,80.2,0.6,3.5,4,6.1,3.5,2,0.6,2.4,3,0,-1.6
1516,0,0,John Wall,WAS,25,77,37,40,36.2,19.9,7.4,17.5,42.4,1.5,4.3,35.1,3.5,4.5,79.1,0.5,4.4,4.9,10.2,4.1,1.9,0.8,2.1,49,4,1.3
1516,0,0,Gordon Hayward,UTA,26,80,38,42,36.2,19.7,6.5,15,43.3,1.8,5.1,34.9,4.9,6,82.4,0.8,4.2,5,3.7,2.5,1.2,0.3,2.3,4,0,1.2
1516,0,0,Kyrie Irving,CLE,24,53,37,16,31.5,19.6,7.4,16.6,44.8,1.6,4.9,32.1,3.2,3.6,88.5,0.8,2.1,3,4.7,2.3,1.1,0.3,2,1,0,3.9
1516,0,0,Brandon Knight,PHX,24,52,16,36,36,19.6,7.1,17.2,41.5,2.3,6.8,34.2,3,3.5,85.2,0.7,3.2,3.9,5.1,3.4,1.2,0.4,2.4,4,1,-4
1516,0,0,Danilo Gallinari,DEN,27,53,22,31,34.7,19.5,5.4,13.2,41,1.6,4.5,36.4,7.1,8.2,86.8,1,4.3,5.3,2.5,1.5,0.8,0.4,1.6,3,0,-1.9
1516,0,0,Chris Bosh,MIA,32,53,29,24,33.5,19.1,6.8,14.5,46.7,1.5,4.2,36.5,4,5.1,79.5,0.9,6.5,7.4,2.4,1.5,0.7,0.6,1.9,15,0,0.6
1516,0,0,Dwyane Wade,MIA,34,74,43,31,30.5,19,7.3,16,45.6,0.1,0.6,15.9,4.4,5.5,79.3,1.1,3,4.1,4.6,2.7,1.1,0.6,1.6,2,0,-0.1
1516,0,0,Reggie Jackson,DET,26,79,43,36,30.7,18.8,6.8,15.7,43.4,1.5,4.2,35.3,3.7,4.3,86.4,0.7,2.5,3.2,6.2,2.8,0.7,0.1,2.4,9,0,1.6
1516,0,0,Karl-Anthony Towns,MIN,20,82,29,53,32,18.3,7.6,14.1,54.2,0.4,1.1,34.1,2.7,3.4,81.1,2.8,7.7,10.5,2,2.2,0.7,1.7,3,52,0,-1.6
1516,0,0,Dirk Nowitzki,DAL,38,75,38,37,31.5,18.3,6.6,14.8,44.8,1.7,4.6,36.8,3.3,3.7,89.3,0.7,5.8,6.5,1.8,1.1,0.7,0.7,2.1,10,0,3.4
1516,0,0,Nikola Vucevic,ORL,25,65,28,37,31.3,18.2,8.2,16.1,51,0,0.1,22.2,1.7,2.3,75.3,2.7,6.2,8.9,2.8,1.9,0.8,1.1,2.7,29,0,-0.7
1516,0,0,Khris Middleton,MIL,24,79,33,46,36.1,18.2,6.4,14.5,44.4,1.8,4.6,39.6,3.5,3.9,88.8,0.6,3.3,3.8,4.2,2.3,1.7,0.2,2.6,1,0,-0.4
1516,0,0,Kobe Bryant,LAL,37,66,13,53,28.2,17.6,6,16.9,35.8,2,7.1,28.5,3.5,4.3,82.6,0.6,3.1,3.7,2.8,2,0.9,0.2,1.7,2,0,-8.7
1516,0,0,Jahlil Okafor,PHI,20,53,6,47,30,17.5,7.5,14.7,50.8,0,0.1,16.7,2.5,3.7,68.6,2.3,4.7,7,1.2,2.3,0.4,1.2,2.6,11,0,-9.4
1516,0,0,Bradley Beal,WAS,23,55,28,27,31.1,17.4,6.5,14.5,44.9,1.9,4.9,38.7,2.5,3.2,76.7,0.7,2.7,3.4,2.9,2,1,0.2,2.1,0,0,-0.4
1516,0,0,Rudy Gay,SAC,29,70,29,41,34,17.2,6.7,14.4,46.3,1.1,3.1,34.4,2.8,3.6,78,1.5,5,6.5,1.7,2,1.4,0.7,2.6,7,0,-1.2
1516,0,0,Paul Millsap,ATL,31,81,48,33,32.7,17.1,6.2,13.2,47,0.9,2.9,31.9,3.8,5,75.7,2.4,6.6,9,3.3,2.4,1.8,1.7,2.9,32,0,2.7
1516,0,0,Ryan Anderson,NOP,28,66,24,42,30.4,17,6,14.1,42.7,2,5.4,36.6,3,3.5,87.3,2,4,6,1.1,1.4,0.6,0.4,1.7,8,0,0.5
1516,0,0,Giannis Antetokounmpo,MIL,21,80,32,48,35.3,16.9,6.4,12.7,50.6,0.4,1.4,25.7,3.7,5.1,72.4,1.4,6.2,7.7,4.3,2.6,1.2,1.4,3.2,21,5,-2.1
1516,0,0,Jrue Holiday,NOP,26,65,27,38,28.2,16.8,6.3,14.4,43.9,1.3,4,33.6,2.8,3.3,84.3,0.4,2.6,3,6,2.6,1.4,0.3,2.3,5,0,0.4
1516,0,0,Marc Gasol,MEM,31,52,30,22,34.4,16.6,6.3,13.6,46.4,0,0.1,66.7,3.9,4.7,82.9,1.1,5.8,7,3.8,2.3,1,1.3,2.7,9,1,0.2
1516,0,0,Pau Gasol,CHI,35,72,36,36,31.8,16.5,6.5,13.8,46.9,0.3,1,34.8,3.2,4,79.2,2.2,8.9,11,4.1,2.3,0.6,2,2.1,46,2,0
1516,0,0,Derrick Favors,UTA,24,62,30,32,32,16.4,6.7,13.1,51.5,0,0.1,0,2.9,4.1,70.9,2.7,5.4,8.1,1.5,1.7,1.2,1.5,2.4,19,0,1.6
1516,0,0,Derrick Rose,CHI,27,66,32,34,31.8,16.4,6.8,15.9,42.7,0.7,2.3,29.3,2.2,2.7,79.3,0.7,2.7,3.4,4.7,2.7,0.7,0.2,1.3,1,0,-2.5
1516,0,0,JJ Redick,LAC,32,75,50,25,28,16.3,5.6,11.7,48,2.7,5.6,47.5,2.4,2.7,88.8,0.1,1.7,1.9,1.4,1,0.6,0.1,1.8,0,0,6.8
1516,0,0,Kevin Love,CLE,27,77,53,24,31.5,16,5.3,12.7,41.9,2.1,5.7,36,3.4,4.1,82.2,1.9,8,9.9,2.4,1.8,0.8,0.5,2.1,35,0,5.6
1516,0,0,Victor Oladipo,ORL,24,72,32,40,33,16,5.9,13.5,43.8,1.4,3.9,34.8,2.8,3.4,83,0.7,4.1,4.8,3.9,2.1,1.6,0.8,2.4,3,1,-0.3
1516,0,0,Jeff Teague,ATL,28,79,47,32,28.5,15.7,5.5,12.5,43.9,1.4,3.5,40.1,3.3,3.9,83.7,0.4,2.3,2.7,5.9,2.8,1.2,0.3,2.1,4,0,0.8
1516,0,0,Jordan Clarkson,LAL,24,79,17,62,32.3,15.5,6,13.9,43.3,1.4,4.1,34.7,2.1,2.6,80.4,1.2,2.8,4,2.4,1.7,1.1,0.1,2.1,1,0,-7.9
1516,0,0,Evan Fournier,ORL,23,79,33,46,32.5,15.4,5.4,11.8,46.2,2,4.9,40,2.5,3,83.6,0.4,2.4,2.8,2.7,1.7,1.2,0,2.7,0,0,-2.4
1516,0,0,Lou Williams,LAL,29,67,14,53,28.5,15.3,4.2,10.3,40.8,1.6,4.8,34.4,5.3,6.3,83,0.5,2.1,2.5,2.5,1.6,0.9,0.3,1.6,0,0,-6
1516,0,0,Greg Monroe,MIL,26,79,32,47,29.3,15.3,6.2,11.9,52.2,0,0,0,2.9,3.9,74,2.8,6.1,8.8,2.3,1.6,0.9,0.8,2.1,32,0,-1.4
1516,0,0,Mike Conley,MEM,28,56,33,23,31.4,15.3,5.3,12.4,42.2,1.4,3.8,36.3,3.4,4.1,83.4,0.5,2.5,2.9,6.1,1.5,1.2,0.3,1.8,4,0,1.1
1516,0,0,Zach Randolph,MEM,34,68,37,31,29.7,15.3,6.3,13.3,47.5,0.1,0.4,23.1,2.5,3.2,79.6,2.6,5.1,7.8,2.1,1.5,0.6,0.2,2.1,17,1,-0.2
1516,0,0,Eric Gordon,NOP,27,45,14,31,32.9,15.2,5.1,12.3,41.8,2.5,6.5,38.4,2.5,2.8,88.8,0.2,2,2.2,2.7,1.6,1,0.3,2.2,0,0,-1.6
1516,0,0,Al Horford,ATL,30,82,48,34,32.1,15.2,6.5,12.8,50.5,1.1,3.1,34.4,1.3,1.6,79.8,1.8,5.5,7.3,3.2,1.3,0.8,1.5,2,17,0,2.8
1516,0,0,Avery Bradley,BOS,25,76,45,31,33.4,15.2,6,13.4,44.7,1.9,5.4,36.1,1.3,1.6,78,0.6,2.3,2.9,2.1,1.4,1.5,0.3,2.2,0,0,2.8
1516,0,0,Tyreke Evans,NOP,26,25,11,14,30.6,15.2,5.4,12.6,43.3,1.3,3.4,38.8,3,3.7,79.6,0.8,4.4,5.2,6.6,2.9,1.3,0.3,2.6,6,0,-0.6
1516,0,0,Thaddeus Young,BKN,28,73,21,52,33,15.1,6.8,13.2,51.4,0.1,0.4,23.3,1.4,2.2,64.4,2.4,6.6,9,1.9,1.9,1.5,0.5,2.5,28,0,-3.2
1516,0,0,Nicolas Batum,CHA,27,70,41,29,35,14.9,5.3,12.5,42.6,2,5.7,34.8,2.3,2.7,84.9,0.8,5.3,6.1,5.8,2.9,0.9,0.6,1.6,11,2,3
1516,0,0,Tobias Harris,DET,23,76,37,39,33.1,14.7,5.5,11.7,46.9,1.1,3.1,33.5,2.7,3.2,83.1,1.3,5.4,6.7,2.2,1.4,0.9,0.5,2,12,0,0.3
1516,0,0,Rodney Hood,UTA,23,79,39,40,32.2,14.5,5.2,12.3,42,2,5.7,35.9,2.2,2.5,86,0.5,2.9,3.4,2.7,1.6,0.9,0.2,2.6,0,0,1.7
1516,0,0,Kentavious Caldwell-Pope,DET,23,76,41,35,36.7,14.5,5.3,12.6,42,1.5,4.9,30.9,2.4,3,81.1,0.9,2.8,3.7,1.8,1.4,1.4,0.2,2.2,1,0,2.3
1516,0,0,Will Barton,DEN,25,82,33,49,28.7,14.4,5.2,12,43.2,1.4,4,34.5,2.6,3.3,80.6,0.7,5.1,5.8,2.5,1.7,0.9,0.5,1.8,6,0,-1.6
1516,0,0,Kristaps Porzingis,NYK,20,72,28,44,28.4,14.3,5.2,12.3,42.1,1.1,3.4,33.3,2.8,3.3,83.8,1.8,5.5,7.3,1.3,1.7,0.7,1.9,2.8,21,0,0.2
1516,0,0,Hassan Whiteside,MIA,27,73,42,31,29.1,14.2,5.7,9.3,60.6,0,0,0,2.9,4.5,65,3.3,8.6,11.8,0.4,1.9,0.6,3.7,2.8,41,3,1.2
1516,0,0,Jae Crowder,BOS,25,73,43,30,31.6,14.2,4.9,11.1,44.3,1.7,5,33.6,2.7,3.3,82,1,4.2,5.1,1.8,1.1,1.7,0.5,2.7,5,0,2.9
1516,0,0,Jamal Crawford,LAC,36,79,51,28,26.9,14.2,4.8,11.9,40.4,1.5,4.4,34,3.1,3.4,90.4,0.3,1.6,1.8,2.3,1.4,0.7,0.2,1.5,0,0,2.1
1516,0,0,Goran Dragic,MIA,30,72,44,28,32.8,14.1,5.8,12.2,47.7,0.9,2.8,31.2,1.7,2.3,72.7,0.8,3.1,3.8,5.8,2.6,1,0.2,2.6,5,0,2.8
1516,0,0,Marcus Morris,DET,26,80,42,38,35.7,14.1,5.1,11.8,43.4,1.4,3.7,36.2,2.5,3.4,74.9,1.1,3.9,5.1,2.5,1.8,0.8,0.3,2.1,4,0,2
1516,0,0,Deron Williams,DAL,32,65,31,34,32.4,14.1,4.9,11.9,41.4,1.5,4.3,34.4,2.8,3.2,86.9,0.3,2.6,2.9,5.8,2.3,0.9,0.2,2.4,4,0,0
1516,0,0,Jabari Parker,MIL,21,76,32,44,31.7,14.1,5.8,11.8,49.3,0.1,0.5,25.7,2.3,3,76.8,1.6,3.6,5.2,1.7,1.5,0.9,0.4,2,6,0,-2.5
1516,0,0,Zach LaVine,MIN,21,82,29,53,28,14,5.3,11.7,45.2,1.5,3.9,38.9,2,2.5,79.3,0.3,2.5,2.8,3.1,1.9,0.8,0.2,2.4,0,0,-3.6
1516,0,0,Darren Collison,SAC,28,74,29,45,30,14,5.1,10.5,48.6,1.2,2.9,40.1,2.6,3.1,85.8,0.4,1.9,2.3,4.3,1.8,1,0.1,1.9,4,0,-0.9
1516,0,0,Monta Ellis,IND,30,81,44,37,33.8,13.8,5.4,12.6,42.7,1.1,3.5,30.9,2,2.5,78.6,0.5,2.8,3.3,4.7,2.5,1.9,0.5,2.1,1,0,1.3
1516,0,0,Devin Booker,PHX,19,76,20,56,27.7,13.8,4.8,11.4,42.3,1.3,3.8,34.3,2.8,3.4,84,0.4,2.1,2.5,2.6,2.1,0.6,0.3,3,3,0,-4.9
1516,0,0,Dwight Howard,HOU,30,71,34,37,32.1,13.7,5.2,8.5,62,0,0.1,0,3.3,6.7,48.9,3.4,8.4,11.8,1.4,2.3,1,1.6,3.1,38,0,0.2
1516,0,0,Chandler Parsons,DAL,27,61,29,32,29.5,13.7,5.2,10.7,49.2,1.7,4.1,41.4,1.5,2.2,68.4,0.5,4.2,4.7,2.8,1.6,0.8,0.3,1.9,3,0,-0.1
1516,0,0,Marcin Gortat,WAS,32,75,35,40,30.1,13.5,5.8,10.2,56.7,0,0,0,1.9,2.8,70.5,3,6.9,9.9,1.4,1.6,0.6,1.3,2.6,41,0,0.8
1516,0,0,Alec Burks,UTA,24,31,13,18,25.7,13.3,4.4,10.8,41,1,2.5,40.5,3.4,4.5,75.2,0.5,3,3.5,2,1.6,0.6,0.1,2.3,0,0,-0.4
1516,0,0,D'Angelo Russell,LAL,20,80,17,63,28.2,13.2,4.9,12,41,1.6,4.6,35.1,1.8,2.4,73.7,0.6,2.8,3.4,3.3,2.5,1.2,0.2,1.8,1,0,-6.8
1516,0,0,Dahntay Jones,CLE,35,1,0,1,42.4,13,6,14,42.9,1,2,50,0,0,0,1,4,5,2,0,1,2,6,0,0,-1
1516,0,0,Jarrett Jack,BKN,32,32,10,22,32.1,12.8,4.4,11.2,39.1,1,3.2,30.4,3.1,3.5,89.3,0.3,4,4.3,7.4,2.9,1.1,0.2,2.4,6,0,-4.1
1516,0,0,Emmanuel Mudiay,DEN,20,68,29,39,30.4,12.8,4.8,13.3,36.4,1.1,3.4,31.9,2.1,3.1,67,0.5,2.9,3.4,5.5,3.2,1,0.5,2.1,4,0,-1.7
1516,0,0,Robert Covington,PHI,25,67,10,57,28.4,12.8,4.1,10.6,38.5,2.5,7.2,35.3,2.1,2.6,79.1,1,5.3,6.3,1.4,2.1,1.6,0.6,3.5,7,0,-4.2
1516,0,0,Arron Afflalo,NYK,30,71,27,44,33.4,12.8,5,11.3,44.3,1.3,3.4,38.2,1.5,1.8,84,0.3,3.4,3.7,2,1.2,0.4,0.1,2,1,0,-2.1
1516,0,0,Jonas Valanciunas,TOR,24,60,40,20,25.9,12.8,5.1,8.9,56.5,0,0,0,2.7,3.6,76.1,3.1,6.1,9.1,0.7,1.4,0.4,1.3,2.6,22,0,2.4
1516,0,0,Michael Beasley,HOU,27,20,10,10,18.1,12.8,5.4,10.3,52.2,0.2,0.5,33.3,1.9,2.5,77.6,1.5,3.5,4.9,0.8,1.2,0.6,0.5,2,1,0,-3.4
1516,0,0,Michael Kidd-Gilchrist,CHA,22,7,5,2,29.2,12.7,4.7,8.7,54.1,0.4,1,42.9,2.9,4.1,69,1.7,4.7,6.4,1.3,1.1,0.4,0.4,1.3,2,0,8.3
1516,0,0,Enes Kanter,OKC,24,82,55,27,21,12.7,5,8.8,57.6,0.1,0.3,47.6,2.4,3.1,79.7,3,5.1,8.1,0.4,1.4,0.3,0.4,2,25,0,1.5
1516,0,0,Trevor Ariza,HOU,31,81,40,41,35.3,12.7,4.4,10.6,41.6,2.3,6.2,37.1,1.6,2,78.3,0.8,3.7,4.5,2.3,1.4,2,0.3,2.2,1,0,0.5
1516,0,0,Ish Smith,PHI,27,77,16,61,29.1,12.6,5.2,12.6,41.1,0.7,2.2,32.9,1.6,2.3,69.3,0.6,3.4,4,6.5,2.3,1.1,0.3,1.7,12,0,-4.5
1516,0,0,Serge Ibaka,OKC,26,78,54,24,32.1,12.6,5.3,11.1,47.9,0.8,2.4,32.6,1.2,1.6,75.2,1.8,5,6.8,0.8,1.4,0.5,1.9,2.7,9,0,6.8
1516,0,0,Wesley Matthews,DAL,29,78,40,38,33.9,12.5,4.2,10.9,38.8,2.4,6.7,36,1.6,1.9,86.3,0.3,2.7,3.1,1.9,1,1,0.2,2.3,0,0,1.3
1516,0,0,Kenneth Faried,DEN,26,67,26,41,25.3,12.5,5.2,9.3,55.8,0,0,50,2,3.3,61.3,3.5,5.2,8.7,1.2,1.4,0.5,0.9,2.5,21,0,-1.6
1516,0,0,JR Smith,CLE,30,77,53,24,30.7,12.4,4.6,11,41.5,2.6,6.6,40,0.6,0.9,63.4,0.6,2.3,2.8,1.7,0.8,1.1,0.3,2.6,1,0,4
1516,0,0,Luol Deng,MIA,31,74,45,29,32.4,12.3,4.6,10.1,45.5,1.2,3.5,34.4,2,2.6,75.5,1.5,4.5,6,1.9,1.1,1,0.4,1.6,13,0,0.4
1516,0,0,Gary Harris,DEN,21,76,31,45,32.1,12.3,4.7,10.1,46.9,1.4,3.9,35.4,1.4,1.8,82,0.7,2.2,2.9,1.9,1.3,1.3,0.2,1.9,0,0,-2.8
1516,0,0,Joe Johnson,MIA,35,81,31,50,33.4,12.2,4.7,10.6,43.9,1.5,3.9,38.3,1.5,1.8,83.1,0.6,3,3.6,3.9,2,0.8,0,1.8,3,0,-0.7
1516,0,0,Mirza Teletovic,PHX,30,79,23,56,21.3,12.2,4.2,9.8,42.7,2.3,5.8,39.3,1.5,2,77.4,0.7,3.1,3.8,1.1,1.1,0.4,0.3,2,2,0,-2.1
1516,0,0,George Hill,IND,30,74,41,33,34.1,12.1,4.4,10,44.1,1.7,4.2,40.8,1.5,2,76,0.8,3.2,4,3.5,1.4,1.1,0.2,2,0,0,1.3
1516,0,0,Al Jefferson,CHA,31,47,33,14,23.3,12,5.2,10.7,48.5,0,0,0,1.5,2.4,64.9,1.2,5.2,6.4,1.5,0.7,0.6,0.9,2.5,7,0,1
1516,0,0,Markieff Morris,WAS,26,64,22,42,25.5,12,4.8,11.2,42.5,0.7,2.4,30.3,1.7,2.3,73.5,1.1,4.4,5.5,1.9,2.1,0.9,0.5,2.9,2,0,-1.4
1516,0,0,Rajon Rondo,SAC,30,72,29,43,35.2,11.9,4.9,10.9,45.4,0.9,2.4,36.5,1.2,2.1,58,1.1,5,6,11.7,3.9,2,0.1,2.4,37,6,-2.1
1516,0,0,Tony Parker,SAS,34,72,59,13,27.5,11.9,4.9,9.9,49.3,0.4,0.9,41.5,1.8,2.4,76,0.2,2.2,2.4,5.3,1.8,0.8,0.2,1.6,3,0,5.7
1516,0,0,Omri Casspi,SAC,28,69,27,42,27.3,11.8,4.3,9,48.1,1.6,4,40.9,1.5,2.3,64.8,0.8,5.1,5.9,1.4,1.4,0.8,0.2,2.2,6,0,0.1
1516,0,0,Nikola Mirotic,CHI,25,66,37,29,24.9,11.8,3.8,9.2,40.7,2,5.2,39,2.2,2.7,80.7,0.9,4.6,5.5,1.5,1.5,0.9,0.7,2.3,5,0,0.6
1516,0,0,CJ Miles,IND,29,64,34,30,22.9,11.8,4,9.9,40.9,2.2,6,36.7,1.5,1.9,75,0.4,2.3,2.7,1,1.1,0.8,0.5,2.2,0,0,0
1516,0,0,Jeff Green,LAC,29,80,48,32,28.2,11.7,4.4,10.3,43,0.8,2.7,31.5,2.1,2.8,74.5,0.9,3.2,4.2,1.7,1.2,0.7,0.5,2.1,1,0,-0.5
1516,0,0,Harrison Barnes,GSW,24,66,59,7,30.9,11.7,4.5,9.6,46.6,1.2,3.2,38.3,1.5,2,76.1,1.2,3.8,4.9,1.8,0.9,0.6,0.2,2.1,1,0,6.9
1516,0,0,Jeremy Lin,CHA,27,78,47,31,26.3,11.7,3.8,9.3,41.2,1,2.9,33.6,3.1,3.7,81.5,0.5,2.7,3.2,3,1.9,0.7,0.5,2.1,1,0,1.1
1516,0,0,Marvin Williams,CHA,30,81,47,34,28.9,11.7,4.2,9.2,45.2,1.9,4.7,40.2,1.5,1.8,83.3,1.6,4.9,6.4,1.4,0.8,0.7,1,1.6,10,0,3.1
1516,0,0,Kent Bazemore,ATL,26,75,44,31,27.8,11.6,4.3,9.7,44.1,1.5,4.1,35.7,1.6,2,81.5,0.4,4.7,5.1,2.3,1.8,1.3,0.5,2.3,1,0,1
1516,0,0,Otto Porter Jr.,WAS,23,75,36,39,30.3,11.6,4.5,9.6,47.3,1.3,3.6,36.7,1.3,1.7,75.4,1.3,3.9,5.2,1.6,0.9,1.4,0.4,2.2,5,0,0.6
1516,0,0,Michael Carter-Williams,MIL,24,54,21,33,30.5,11.5,4.6,10.3,45.2,0.3,1,27.3,2,3,66.3,0.9,4.2,5.1,5.2,2.8,1.5,0.8,3,6,0,-2.4
1516,0,0,Jordan Hamilton,NOP,25,11,4,7,27.6,11.4,4.5,10.5,42.2,1.2,4.1,28.9,1.3,1.9,66.7,1.1,4.5,5.6,2.3,1.5,0.7,0.3,2.2,1,0,-5.8
1516,0,0,Julius Randle,LAL,21,81,17,64,28.2,11.3,4.4,10.3,42.9,0.1,0.4,27.8,2.4,3.3,71.5,2.1,8.1,10.2,1.8,1.8,0.7,0.4,3,34,1,-8.4
1516,0,0,Bojan Bogdanovic,BKN,27,79,21,58,26.8,11.2,4.1,9.5,43.3,1.6,4.3,38.2,1.4,1.7,83.3,0.5,2.8,3.2,1.3,1.5,0.4,0.1,1.5,1,0,-4.9
1516,0,0,Nerlens Noel,PHI,22,67,10,57,29.3,11.1,4.6,8.8,52.1,0,0,50,2,3.4,59,2.3,5.8,8.1,1.8,2.4,1.8,1.5,2.9,16,0,-6.9
1516,0,0,Sean Kilpatrick,BKN,26,31,7,24,19.9,11.1,4,8.7,45.6,1.3,3.7,34.2,1.9,2.2,89.6,0.4,1.4,1.8,0.9,1,0.4,0.1,1.2,0,0,-4.7
1516,0,0,DeMarre Carroll,TOR,29,26,16,10,30.2,11,4,10.4,38.9,1.8,4.5,39,1.2,1.9,60,1.2,3.5,4.7,1,1.1,1.7,0.2,2.4,0,0,1.7
1516,0,0,Dennis Schroder,ATL,22,80,47,33,20.3,11,4.1,9.8,42.1,1,3,32.2,1.8,2.3,79.1,0.3,2.2,2.6,4.4,2.3,0.9,0.1,1.7,2,0,2.8
